"hrgcode","hrg","trim.el","trim.nel","nelshortst","perc.nelshortst","tariff.op","tariff.dcel","tariff.dc","tariff.el","tariff.nel","tariff.overtrim","tariff.nelshortst"
"AA50F","Very Complex Intracranial Procedures, 18 years and under, with CC Score 0-5",20,50,"No","-",0,10165,0,0,13716,436,0
"AA51A","Complex Intracranial Procedures, 19 years and over, with CC Score 12+",106,106,"No","-",0,17712,0,0,17712,240,0
"AA51B","Complex Intracranial Procedures, 19 years and over, with CC Score 8-11",39,62,"No","-",0,9846,0,0,11212,240,0
"AA51C","Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",23,47,"No","-",0,7392,0,0,9615,240,0
"AA51D","Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",15,36,"No","-",0,7140,0,0,7694,240,0
"AA51E","Complex Intracranial Procedures, 18 years and under, with CC Score 8+",65,65,"No","-",0,14756,0,0,14756,436,0
"AA51F","Complex Intracranial Procedures, 18 years and under, with CC Score 4-7",14,39,"No","-",0,7632,0,0,8678,436,0
"AA51G","Complex Intracranial Procedures, 18 years and under, with CC Score 0-3",12,29,"No","-",0,7301,0,0,8387,436,0
"AA52A","Very Major Intracranial Procedures, 19 years and over, with CC Score 12+",102,102,"No","-",0,13503,0,0,13503,240,0
"AA52B","Very Major Intracranial Procedures, 19 years and over, with CC Score 8-11",37,62,"No","-",0,8389,0,0,9452,240,0
"AA52C","Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",18,38,"No","-",0,6411,0,0,7589,240,0
"AA52D","Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",13,25,"No","-",0,6222,0,0,6885,240,0
"AA52E","Very Major Intracranial Procedures, 18 years and under, with CC Score 8+",27,64,"No","-",0,8454,0,0,9354,436,0
"AA52F","Very Major Intracranial Procedures, 18 years and under, with CC Score 4-7",12,24,"No","-",0,5425,0,0,6757,436,0
"AA52G","Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3",10,16,"No","-",0,5373,0,0,5713,436,0
"AA53A","Major Intracranial Procedures, 19 years and over, with CC Score 12+",91,91,"No","-",0,11032,0,0,11032,240,0
"AA53B","Major Intracranial Procedures, 19 years and over, with CC Score 8-11",26,47,"No","-",0,6926,0,0,7334,240,0
"AA53C","Major Intracranial Procedures, 19 years and over, with CC Score 4-7",15,28,"No","-",0,5398,0,0,5900,240,0
"AA53D","Major Intracranial Procedures, 19 years and over, with CC Score 0-3",10,19,"No","-",0,4722,0,0,5386,240,0
"AA53E","Major Intracranial Procedures, 18 years and under, with CC Score 8+",16,71,"No","-",0,7456,0,0,8355,240,0
"AA53F","Major Intracranial Procedures, 18 years and under, with CC Score 4-7",11,23,"No","-",0,4954,0,0,5515,436,0
"AA53G","Major Intracranial Procedures, 18 years and under, with CC Score 0-3",9,12,"No","-",0,4422,0,0,4676,436,0
"AA54A","Intermediate Intracranial Procedures, 19 years and over, with CC Score 4+",8,30,"No","-",0,2219,0,0,5161,240,0
"AA54B","Intermediate Intracranial Procedures, 19 years and over, with CC Score 2-3",5,12,"No","-",0,2219,0,0,3032,240,0
"AA54C","Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1",5,5,"No","-",0,2182,0,0,2182,240,0
"AA55A","Minor Intracranial Procedures, 19 years and over, with CC Score 4+",5,36,"No","-",0,836,0,0,4029,240,0
"AA55B","Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",5,13,"No","-",0,631,0,0,1841,240,0
"AA55C","Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",5,6,"No","-",0,440,0,0,1072,240,0
"AA56A","Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 4+",10,10,"No","-",0,2990,0,0,2990,436,0
"AA56B","Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3",6,6,"No","-",0,2990,0,0,2990,436,0
"AA57A","Minimal Intracranial Procedures, 19 years and over",5,13,"No","-",93,584,0,0,1931,240,0
"AA57B","Minimal Intracranial Procedures, 18 years and under",5,5,"No","-",0,477,0,0,956,436,0
"AA60A","Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",8,19,"No","-",0,2516,0,0,2516,240,0
"AA60B","Insertion of Neurostimulator for Treatment of Neurological Conditions, 18 years and under",5,103,"No","-",0,3020,0,0,3020,436,0
"AA61A","Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions, 19 years and over",14,54,"No","-",0,1510,0,0,1510,240,0
"AA61B","Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions, 18 years and under",6,390,"No","-",0,1812,0,0,1812,436,0
"AA70Z","Stereotactic Intracranial Radiosurgery for Arteriovenous Malformations",5,5,"No","-",0,3297,0,0,3297,240,0
"AA71A","Stereotactic Intracranial Radiosurgery, for Neoplasms or Other Neurological Conditions, with CC Score 4+",5,53,"No","-",0,3226,0,0,4475,240,0
"AA71B","Stereotactic Intracranial Radiosurgery, for Neoplasms or Other Neurological Conditions, with CC Score 0-3",5,26,"No","-",0,2421,0,0,2421,240,0
"AA80Z","Complex Long Term EEG Monitoring",9,12,"No","-",0,2153,0,0,2379,240,0
"AA81Z","Standard Long Term EEG Monitoring",5,9,"No","-",403,403,0,0,403,240,0
"AB11Z","Cognitive Behavioural Therapy as part of a Pain Management Programme",5,5,"No","-",0,163,0,0,163,240,0
"AB12Z","Insertion of Neurostimulator for Pain Management",5,23,"No","-",0,2509,0,0,2509,240,0
"AB13Z","Insertion of Intrathecal Drug Delivery Device for Pain Management",13,77,"No","-",0,1505,0,0,1505,240,0
"AB14Z","Insertion of Neurostimulator Electrodes for Pain Management",5,10,"No","-",0,2182,0,0,2859,240,0
"AB15Z","Radiofrequency Ablation or Cryoablation, for Pain Management",5,5,"No","-",206,651,0,0,651,240,0
"AB16Z","Denervation or Injection Around Spinal Facet, for Pain Management",5,5,"No","-",0,539,0,0,823,240,0
"AB17Z","Nerve Block or Destruction of Nerve, for Pain Management",5,5,"No","-",0,468,0,0,468,240,0
"AB18Z","Continuous Infusion of Therapeutic Substance for Pain Management",5,5,"No","-",0,462,0,0,462,240,0
"AB19Z","Injection of Therapeutic Substance into Joint for Pain Management",5,5,"No","-",0,528,0,0,880,240,0
"AB20Z","Epidural Under Image Control for Pain Management",5,5,"No","-",0,536,0,0,858,240,0
"AB21Z","Epidural or Therapeutic Spinal Puncture, for Pain Management",5,5,"No","-",0,444,0,0,502,240,0
"AB22Z","Trigger Point Injection for Pain Management",5,5,"No","-",0,418,0,0,418,240,0
"AB23Z","Acupuncture for Pain Management",5,5,"No","-",90,307,0,0,476,240,0
"BZ24D","Non-Surgical Ophthalmology with Interventions",12,23,"Yes","30%",0,2368,0,0,3138,257,941
"BZ24E","Non-Surgical Ophthalmology without Interventions, with CC Score 5+",5,21,"Yes","30%",0,1107,0,0,2415,257,725
"BZ24F","Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",5,10,"Yes","50%",0,444,0,0,1424,257,712
"BZ24G","Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",5,5,"Yes","75%",0,315,0,0,832,257,624
"BZ30A","Complex, Cataract or Lens Procedures, with CC Score 2+",5,14,"No","-",0,1363,0,0,3002,257,0
"BZ30B","Complex, Cataract or Lens Procedures, with CC Score 0-1",5,5,"No","-",0,1363,0,0,2265,257,0
"BZ31A","Very Major, Cataract or Lens Procedures, with CC Score 2+",5,15,"No","-",0,787,0,0,1955,257,0
"BZ31B","Very Major, Cataract or Lens Procedures, with CC Score 0-1",5,5,"No","-",0,778,0,0,1693,257,0
"BZ32A","Intermediate, Cataract or Lens Procedures, with CC Score 2+",5,25,"No","-",0,787,0,0,1597,257,0
"BZ32B","Intermediate, Cataract or Lens Procedures, with CC Score 0-1",5,5,"No","-",0,778,0,0,1258,257,0
"BZ33Z","Minor, Cataract or Lens Procedures",5,5,"No","-",89,231,0,0,616,257,0
"BZ34A","Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 4+",5,92,"No","-",0,691,0,0,7855,257,0
"BZ34B","Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-3",5,43,"No","-",0,676,0,0,3149,257,0
"BZ34C","Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",5,5,"No","-",0,667,0,0,884,257,0
"BZ40Z","Very Complex Oculoplastics Procedures",5,55,"No","-",0,1388,0,0,2598,257,0
"BZ41A","Complex Oculoplastics Procedures, 19 years and over, with CC Score 2+",5,36,"No","-",0,1084,0,0,2810,257,0
"BZ41B","Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1",5,40,"No","-",0,1030,0,0,1774,257,0
"BZ42A","Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",5,37,"No","-",0,933,0,0,2309,257,0
"BZ42B","Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",5,5,"No","-",0,910,0,0,1601,257,0
"BZ43Z","Complex or Very Major, Oculoplastics Procedures, 18 years and under",5,10,"No","-",0,1254,0,0,2489,303,0
"BZ44A","Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",5,51,"No","-",0,817,0,0,1616,257,0
"BZ44B","Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",5,5,"No","-",94,736,0,0,736,257,0
"BZ44C","Major Oculoplastics Procedures, 18 years and under",5,5,"No","-",0,948,0,0,974,303,0
"BZ45A","Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",5,20,"No","-",0,562,0,0,1616,257,0
"BZ45B","Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",5,5,"No","-",110,515,0,0,663,257,0
"BZ45C","Intermediate Oculoplastics Procedures, between 4 and 18 years",5,5,"No","-",0,798,0,0,798,303,0
"BZ45D","Intermediate Oculoplastics Procedures, 3 years and under",5,5,"No","-",0,985,0,0,985,303,0
"BZ46A","Minor Oculoplastics Procedures, 19 years and over",5,5,"No","-",100,389,0,0,715,257,0
"BZ46B","Minor Oculoplastics Procedures, 18 years and under",5,5,"No","-",0,609,0,0,1073,303,0
"BZ50Z","Very Complex, Orbit or Lacrimal Procedures, 19 years and over",5,19,"No","-",0,2586,0,0,3283,257,0
"BZ51A","Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",5,19,"No","-",0,1996,0,0,3615,257,0
"BZ51B","Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",5,9,"No","-",0,1941,0,0,2644,257,0
"BZ52Z","Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under",5,11,"No","-",0,1831,0,0,3693,303,0
"BZ53A","Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",5,41,"No","-",0,1635,0,0,3557,257,0
"BZ53B","Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",5,8,"No","-",0,1569,0,0,1822,257,0
"BZ54A","Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",5,29,"No","-",0,1209,0,0,3557,257,0
"BZ54B","Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",5,8,"No","-",168,1196,0,0,1822,257,0
"BZ55Z","Very Major or Major, Orbit or Lacrimal Procedures, 18 years and under",5,5,"No","-",0,1229,0,0,2488,303,0
"BZ56A","Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",5,5,"No","-",0,492,0,0,729,257,0
"BZ56B","Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",5,5,"No","-",118,489,0,0,716,257,0
"BZ56C","Intermediate, Orbit or Lacrimal Procedures, 18 years and under",5,11,"No","-",0,762,0,0,1219,303,0
"BZ57A","Minor, Orbit or Lacrimal Procedures, 19 years and over",5,5,"No","-",98,438,0,0,666,257,0
"BZ57B","Minor, Orbit or Lacrimal Procedures, 18 years and under",5,5,"No","-",0,671,0,0,763,303,0
"BZ60A","Very Complex, Cornea or Sclera Procedures, with CC Score 2+",5,23,"No","-",0,2981,0,0,5007,257,0
"BZ60B","Very Complex, Cornea or Sclera Procedures, with CC Score 0-1",5,8,"No","-",0,2560,0,0,3067,257,0
"BZ61A","Complex, Cornea or Sclera Procedures, with CC Score 2+",5,19,"No","-",0,2453,0,0,3897,257,0
"BZ61B","Complex, Cornea or Sclera Procedures, with CC Score 0-1",5,8,"No","-",0,2342,0,0,2964,257,0
"BZ62A","Very Major, Cornea or Sclera Procedures, with CC Score 1+",5,18,"No","-",0,794,0,0,2870,257,0
"BZ62B","Very Major, Cornea or Sclera Procedures, with CC Score 0",5,5,"No","-",0,696,0,0,1760,257,0
"BZ63A","Major, Cornea or Sclera Procedures, with CC Score 1+",5,16,"No","-",0,683,0,0,2583,257,0
"BZ63B","Major, Cornea or Sclera Procedures, with CC Score 0",5,10,"No","-",0,633,0,0,1760,257,0
"BZ64A","Intermediate, Cornea or Sclera Procedures, with CC Score 1+",5,19,"No","-",0,682,0,0,2295,257,0
"BZ64B","Intermediate, Cornea or Sclera Procedures, with CC Score 0",5,8,"No","-",0,589,0,0,1588,257,0
"BZ65Z","Minor, Cornea or Sclera Procedures",5,5,"No","-",107,107,0,0,542,257,0
"BZ70Z","Complex Ocular Motility Procedures",5,11,"No","-",0,1293,0,0,3209,257,0
"BZ71A","Very Major Ocular Motility Procedures, 19 years and over",5,21,"No","-",0,1213,0,0,1346,257,0
"BZ71B","Very Major Ocular Motility Procedures, 18 years and under",5,5,"No","-",0,1290,0,0,1467,303,0
"BZ72A","Major Ocular Motility Procedures, 19 years and over",5,5,"No","-",0,1201,0,0,1346,257,0
"BZ72B","Major Ocular Motility Procedures, between 4 and 18 years",5,5,"No","-",0,1364,0,0,1570,303,0
"BZ72C","Major Ocular Motility Procedures, 3 years and under",5,5,"No","-",0,1501,0,0,1727,303,0
"BZ73A","Intermediate Ocular Motility Procedures, 19 years and over",5,5,"No","-",0,1004,0,0,1004,257,0
"BZ73B","Intermediate Ocular Motility Procedures, 18 years and under",5,5,"No","-",0,1058,0,0,1228,303,0
"BZ74A","Minor Ocular Motility Procedures, 19 years and over",5,5,"No","-",101,599,0,0,599,257,0
"BZ74B","Minor Ocular Motility Procedures, 18 years and under",5,5,"No","-",0,813,0,0,915,303,0
"BZ80A","Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",5,10,"No","-",0,1768,0,0,2688,257,0
"BZ80B","Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",5,5,"No","-",0,1639,0,0,1803,257,0
"BZ81A","Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",5,8,"No","-",0,1320,0,0,2084,257,0
"BZ81B","Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",5,5,"No","-",0,1320,0,0,1561,257,0
"BZ82Z","Very Complex or Complex, Vitreous Retinal Procedures, 18 years and under",5,5,"No","-",0,2022,0,0,2392,303,0
"BZ83A","Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",5,5,"No","-",0,1272,0,0,1767,257,0
"BZ83B","Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",5,5,"No","-",0,1272,0,0,1361,257,0
"BZ84A","Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",5,21,"No","-",0,629,0,0,1767,257,0
"BZ84B","Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",5,5,"No","-",106,576,0,0,1142,257,0
"BZ85Z","Very Major or Major, Vitreous Retinal Procedures, 18 years and under",5,8,"No","-",441,1422,0,0,1422,303,0
"BZ86A","Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",5,18,"No","-",0,288,0,0,1767,257,0
"BZ86B","Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",5,5,"No","-",107,267,0,0,686,257,0
"BZ86C","Intermediate Vitreous Retinal Procedures, 18 years and under",5,16,"No","-",133,912,0,0,1138,303,0
"BZ87A","Minor Vitreous Retinal Procedures, 19 years and over",5,5,"No","-",90,267,0,0,608,257,0
"BZ87B","Minor Vitreous Retinal Procedures, between 4 and 18 years",5,5,"No","-",80,874,0,0,905,303,0
"BZ87C","Minor Vitreous Retinal Procedures, 3 years and under",5,5,"No","-",73,994,0,0,1392,303,0
"BZ88A","Retinal Tomography, 19 years and over",5,5,"No","-",92,92,0,0,184,257,0
"BZ88B","Retinal Tomography, 18 years and under",5,5,"No","-",108,1066,0,0,1066,303,0
"BZ89A","Digital Retinal Photography, 19 years and over",5,5,"No","-",94,94,0,0,94,257,0
"BZ89B","Digital Retinal Photography, 18 years and under",5,5,"No","-",108,108,0,0,108,257,0
"BZ90Z","Very Complex, Glaucoma or Iris Procedures",5,11,"No","-",0,2409,0,0,3720,257,0
"BZ91A","Complex, Glaucoma or Iris Procedures, with CC Score 2+",5,29,"No","-",0,1935,0,0,2650,257,0
"BZ91B","Complex, Glaucoma or Iris Procedures, with CC Score 0-1",5,8,"No","-",0,1929,0,0,2394,257,0
"BZ92A","Very Major, Glaucoma or Iris Procedures, with CC Score 2+",5,13,"No","-",0,1208,0,0,1651,257,0
"BZ92B","Very Major, Glaucoma or Iris Procedures, with CC Score 0-1",5,5,"No","-",0,1208,0,0,1651,257,0
"BZ93A","Major, Glaucoma or Iris Procedures, with CC Score 2+",5,13,"No","-",0,649,0,0,1652,257,0
"BZ93B","Major, Glaucoma or Iris Procedures, with CC Score 0-1",5,5,"No","-",95,598,0,0,1159,257,0
"BZ94A","Intermediate, Glaucoma or Iris Procedures, with CC Score 1+",5,5,"No","-",0,447,0,0,1074,257,0
"BZ94B","Intermediate, Glaucoma or Iris Procedures, with CC Score 0",5,5,"No","-",100,324,0,0,897,257,0
"BZ95Z","Minor, Glaucoma or Iris Procedures",5,5,"No","-",86,324,0,0,495,257,0
"CA01Z","Complex Neck Procedures",37,126,"No","-",0,10019,0,0,19567,241,0
"CA02A","Very Major Neck Procedures with CC Score 2+",13,13,"No","-",0,6342,0,0,6342,241,0
"CA02B","Very Major Neck Procedures with CC Score 0-1",7,7,"No","-",0,4831,0,0,4831,241,0
"CA03A","Major Neck Procedures with CC Score 2+",9,9,"No","-",0,3829,0,0,3829,241,0
"CA03B","Major Neck Procedures with CC Score 0-1",5,5,"No","-",0,2894,0,0,2894,241,0
"CA04A","Intermediate Neck Procedures, 19 years and over",5,72,"No","-",0,2087,0,0,2140,241,0
"CA04B","Intermediate Neck Procedures, 18 years and under",5,90,"No","-",0,2087,0,0,2140,418,0
"CA05A","Minor Neck Procedures, 19 years and over",5,5,"No","-",141,971,0,0,971,241,0
"CA05B","Minor Neck Procedures, 18 years and under",5,5,"No","-",0,1310,0,0,1758,418,0
"CA10A","Septorhinoplasty, 19 years and over",5,5,"No","-",0,2052,0,0,2052,241,0
"CA10B","Septorhinoplasty, 18 years and under",5,5,"No","-",0,2114,0,0,2114,418,0
"CA11A","Septoplasty, 19 years and over",5,5,"No","-",0,0,1237,1119,1190,241,0
"CA11B","Septoplasty, 18 years and under",5,5,"No","-",0,1229,0,0,1229,418,0
"CA12Z","Major Treatment of Epistaxis",5,5,"No","-",129,741,0,0,741,241,0
"CA13A","Minor Treatment of Epistaxis, 19 years and over",5,5,"No","-",93,555,0,0,555,241,0
"CA13B","Minor Treatment of Epistaxis, 18 years and under",5,5,"No","-",100,661,0,0,661,418,0
"CA14Z","Nasal Polypectomy",5,14,"No","-",108,0,1259,1138,1947,241,0
"CA15Z","Excision or Biopsy, of Lesion of Internal Nose",5,5,"No","-",121,740,0,0,925,241,0
"CA16Z","Excision or Biopsy, of Lesion of External Nose",5,5,"No","-",147,465,0,0,465,241,0
"CA20Z","Complex Nose Procedures",5,35,"No","-",0,1687,0,0,3612,241,0
"CA21Z","Very Major Nose Procedures",5,32,"No","-",0,1687,0,0,3612,241,0
"CA22Z","Major Nose Procedures",5,11,"No","-",0,1388,0,0,2299,241,0
"CA23Z","Intermediate Nose Procedures",5,6,"No","-",0,925,0,0,1544,241,0
"CA24A","Minor Nose Procedures, 19 years and over",5,5,"No","-",108,768,0,0,768,241,0
"CA24B","Minor Nose Procedures, 18 years and under",5,5,"No","-",94,865,0,0,865,418,0
"CA25A","Minimal Nose Procedures, 19 years and over",5,5,"No","-",100,578,0,0,578,241,0
"CA25B","Minimal Nose Procedures, 18 years and under",5,5,"No","-",98,621,0,0,621,418,0
"CA26Z","Complex Sinus Procedures",5,17,"No","-",0,2301,0,0,3109,241,0
"CA27Z","Major Sinus Procedures",5,20,"No","-",0,1626,0,0,2689,241,0
